Size,Category,Subcategory,Firmness,SKU,name,Unit,Normal Price IDR,unit cost,image_url,showroom_qty,warehouse_qty
King,Bamboo Bedsheet,Bamboo Duvet,,SSL2K240X220DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Lilac,Set,"2,850,000","804,050",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSW2Q210X210DU,Bamboo Duvet Sheet Set + 2 Pillow Cases -   Queen (210cm x 210cm)  - White,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSS2Q210X210DU,Bamboo Duvet Sheet Set + 2 Pillow Case - Queen (210cm x 210cm) - Sand,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSG2Q210X210DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  -  Queen (210cm x 210cm) - Grey,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSDG2Q210X210DU,Bamboo Duvet  Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Dark Grey,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSSG2Q210X210DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Sage,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSMG2Q210X210DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  -  Queen (210cm x 210cm) - Moss Green,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSBM2Q210X210DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Blush Mauve,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSBO2Q210X210DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Burnt Orange,Set,"2,650,000","753,887",,,
Queen,Bamboo Bedsheet,Bamboo Duvet,,SSL2Q210X210DU,,Set,,,,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSW1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Case  - Single (140cm x 210cm) - White,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSS1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Cases - Single (140cm x 210cm) - Sand,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSG1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Case  -  Single (140cm x 210cm) - Grey,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSDG1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Dark Grey,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSSG1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Sage,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSMG1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Moss Green,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSBM1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Blush Mauve,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSBO1S140X210DU,Bamboo Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Burnt Orange,Set,"2,150,000","506,928",,,
Single,Bamboo Bedsheet,Bamboo Duvet,,SSL1S140X210DU,,Set,,,,,
