id,transaction_no,line,item,qty,unit,delivered,remain_qty,po_no,warehouse_option,delivery_date,status,description
337,13403,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,1,0,,,,open,
338,13403,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,1,Pcs,1,0,,,,open,
339,13403,3,Bamboo Teak Pillow Mist - 5ml.,2,Pcs,2,0,,,,open,
340,13403,4,Pillow Box Large,1,Pcs,1,0,,,,open,
341,13401,1,Linen Bolster Case Set (1 Bolster Case) - ø34.5cm x L91cm  - White,1,Pcs,1,0,,,,open,
342,13401,2,Paper Bag,1,Pcs,1,0,,,,open,
343,13400,1,Bamboo Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Blush Mauve,1,Set,1,0,,,,open,
344,13400,2,Bamboo Fitted Sheet Set + 2 Pillow Cases  -  Queen (160cm x 200cm) - White,1,Set,1,0,,,,open,
345,13400,3,Bamboo Sheet Box,1,Pcs,1,0,,,,open,
346,13398,1,Heveya Vegan Cotton Bath Towel - 140 x 80cm - Stone,2,Pcs,2,0,,,,open,
347,13398,2,Heveya Bamboo Eyemask - Sage,1,Pcs,1,0,,,,open,
348,13398,3,Heveya Bamboo Eyemask - Blush Mauve,1,Pcs,1,0,,,,open,
349,13398,4,Heveya Sheet Bags,1,Pcs,1,0,,,,open,
350,13397,1,Heveya Natural Organic Latex Mattress III - Custom Size 210cm x 200cm - Medium,2,Pcs,0,2,,,,open,
351,13397,2,Heveya Natural Organic Latex Mattress III  -  King (W180cm x L200cm) - Medium,2,Pcs,0,2,,,,open,
352,13397,3,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,8,Pcs,0,8,,,,open,
353,13397,4,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,4,Pcs,0,4,,,,open,
354,13397,5,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,4,Pcs,0,4,,,,open,
355,13397,6,Heveya Bamboo Cotton Organic Inner Duvet - Super King (260cm x 230cm),2,Pcs,0,2,,,,open,
356,13397,7,Heveya Bamboo Cotton Organic Inner Duvet - King (240cm x 220cm),2,Pcs,0,2,,,,open,
357,13397,8,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm)  - Natural,6,Set,0,6,,,,open,
358,13397,9,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Natural,6,Set,0,6,,,,open,
359,13397,10,Bamboo Cotton Fitted Sheet Set + 2 Pillow Cases - Custom Size (210cm x 200cm) - White,6,Set,0,6,,,,open,
360,13397,11,Bamboo Cotton  Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - White,6,Set,0,6,,,,open,
361,13397,12,Heveya Ombre Cotton - 224cm x 122cm - Throw Indigo,4,Pcs,0,4,,,,open,
362,13397,13,Heveya Cushions Inserts + Linen Throw Pillow Cases -  Square  65*65cm - Olive,8,Set,0,8,,,,open,
363,13397,14,Heveya Linen Cushion - Lumbar Cushion Large 30x120 cm - Natural,4,Set,0,4,,,,open,
364,13397,15,Heveya Vegan Cotton Face Towel - 30x30cm - Natural,16,Pcs,0,16,,,,open,
365,13397,16,Heveya Vegan Cotton Hand Towel - 70 x 40 - Natural,16,Pcs,0,16,,,,open,
366,13397,17,Heveya Vegan Cotton Bath Towel - 140 x 80cm - Natural,16,Pcs,0,16,,,,open,
367,13397,18,Heveya Bamboo Eyemask - Sand,20,Pcs,0,20,,,,open,
368,13397,19,Pillow Box Large,2,Pcs,0,2,,,,open,
369,13396,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,1,Pcs,1,0,,,,open,
370,13396,2,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,1,0,,,,open,
371,13396,3,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
